Date,City,Dealer_ID,Car_Model,Price,Discount,Marketing_Spend,Festival,Fuel_Price,Units_Sold,Lead_Time,Service_Level,Holding_Cost_Per_Unit,Previous_Month_Sales,Rolling_3M_Avg,Demand_Std_Dev,Scenario_Forecast
2024-06-01,Chennai,D6977,Brezza,1050000,3,57117,0,106.85400000000001,15248,1,0.95,21000.0,15852.0,13742.333333333334,11944.344250143417,14825.466666666667
2024-07-01,Chennai,D5268,Brezza,1150000,6,66378,0,106.513,15109,1,0.95,23000.0,15248.0,15403.0,11944.344250143417,15581.858333333334
2025-04-01,Chennai,D2214,Brezza,1150000,2,53171,0,109.32900000000001,14597,1,0.95,23000.0,15109.0,14984.666666666666,11944.344250143417,13341.125
2024-04-01,Delhi,D5186,Brezza,1050000,3,37151,0,103.653,10737,1,0.95,21000.0,42122.0,22669.666666666668,14386.694491786498,10715.95
2024-09-01,Delhi,D5849,Brezza,1050000,5,36894,0,105.677,8917,1,0.95,21000.0,10737.0,20592.0,14386.694491786498,9740.158333333333
2024-12-01,Delhi,D9647,Brezza,950000,9,104691,1,104.84100000000001,34841,1,0.95,19000.0,8917.0,18165.0,14386.694491786498,32115.916666666668
2025-01-01,Delhi,D4072,Brezza,1050000,10,114157,1,108.614,37659,1,0.95,21000.0,34841.0,27139.0,14386.694491786498,41477.025
2025-02-01,Delhi,D7530,Brezza,1050000,4,42289,0,107.08500000000001,11984,1,0.95,21000.0,37659.0,28161.333333333332,14386.694491786498,11587.666666666666
2025-03-01,Delhi,D1504,Brezza,1050000,5,94976,1,107.668,32728,1,0.95,21000.0,11984.0,27457.0,14386.694491786498,36645.48333333333
2025-07-01,Delhi,D1823,Brezza,950000,5,64054,0,110.80300000000001,15821,1,0.95,19000.0,32728.0,20177.666666666668,14386.694491786498,16885.825
2025-10-01,Delhi,D1133,Brezza,1150000,13,152588,2,109.49400000000001,46063,1,0.95,23000.0,15821.0,31537.333333333332,14386.694491786498,50152.958333333336
2023-11-01,Hyderabad,D4486,Brezza,950000,17,190350,2,103.64200000000001,78626,1,0.95,19000.0,9138.0,33142.666666666664,22664.722042195885,68237.50833333333
2023-12-01,Hyderabad,D2810,Brezza,950000,6,95379,1,101.28800000000001,29676,1,0.95,19000.0,78626.0,39146.666666666664,22664.722042195885,34376.85
2024-02-01,Hyderabad,D3923,Brezza,1050000,6,36012,0,105.589,10026,1,0.95,21000.0,29676.0,39442.666666666664,22664.722042195885,10428.075
2024-08-01,Hyderabad,D5748,Brezza,1150000,9,92652,1,106.86500000000001,25466,1,0.95,23000.0,10026.0,21722.666666666668,22664.722042195885,29852.816666666666
2024-10-01,Hyderabad,D4709,Brezza,1050000,14,93467,2,105.33600000000001,36230,1,0.95,21000.0,25466.0,23907.333333333332,22664.722042195885,36370.65833333333
2024-11-01,Hyderabad,D7619,Brezza,1050000,9,111010,2,104.049,50867,1,0.95,21000.0,36230.0,37521.0,22664.722042195885,45644.941666666666
2025-12-01,Hyderabad,D4627,Brezza,1050000,10,53654,1,107.21700000000001,21025,1,0.95,21000.0,50867.0,36040.666666666664,22664.722042195885,19149.308333333334
2022-12-01,Mumbai,D2540,Brezza,1150000,11,109889,1,100.29800000000002,38779,1,0.95,23000.0,35186.0,27786.333333333332,10784.956922594649,39294.425
2023-03-01,Mumbai,D2365,Brezza,1050000,11,108348,1,102.212,26432,1,0.95,21000.0,38779.0,33465.666666666664,10784.956922594649,33379.51666666667
2023-04-01,Mumbai,D9691,Brezza,1150000,6,54596,0,102.927,14173,1,0.95,23000.0,26432.0,26461.333333333332,10784.956922594649,15233.283333333333
2023-06-01,Mumbai,D8494,Brezza,1150000,6,34431,0,102.652,7652,1,0.95,23000.0,14173.0,16085.666666666666,10784.956922594649,8322.316666666668
2023-07-01,Mumbai,D5312,Brezza,1150000,3,57764,0,102.575,14636,1,0.95,23000.0,7652.0,12153.666666666666,10784.956922594649,14077.425
2024-01-01,Mumbai,D7588,Brezza,950000,7,87650,1,107.03,23970,1,0.95,19000.0,14636.0,15419.333333333334,10784.956922594649,22803.95
2024-03-01,Mumbai,D6301,Brezza,1150000,10,100115,1,103.74100000000001,30619,1,0.95,23000.0,23970.0,23075.0,10784.956922594649,31154.241666666665
2026-01-01,Mumbai,D7316,Brezza,1150000,11,68743,1,111.80400000000002,26295,1,0.95,23000.0,30619.0,26961.333333333332,10784.956922594649,24640.708333333332
2022-12-01,Bangalore,D4330,Dzire,900000,6,115429,1,99.077,37371,1,0.95,18000.0,81289.0,42884.333333333336,21120.828965212935,42826.35833333333
2023-02-01,Bangalore,D9662,Dzire,900000,4,64068,0,104.23600000000002,18636,1,0.95,18000.0,37371.0,45765.333333333336,21120.828965212935,18776.933333333334
2023-04-01,Bangalore,D8114,Dzire,750000,5,58552,0,101.992,16822,1,0.95,15000.0,18636.0,24276.333333333332,21120.828965212935,18494.775
2023-08-01,Bangalore,D8575,Dzire,750000,10,81401,1,103.631,25022,1,0.95,15000.0,16822.0,20160.0,21120.828965212935,28234.366666666665
2024-02-01,Bangalore,D8483,Dzire,900000,6,66451,0,105.589,19170,1,0.95,18000.0,25022.0,20338.0,21120.828965212935,19238.55
2024-09-01,Bangalore,D8312,Dzire,820000,5,33040,0,106.71100000000001,9840,1,0.95,16400.0,19170.0,18010.666666666668,21120.828965212935,9872.525
2025-01-01,Bangalore,D3779,Dzire,900000,11,67633,1,106.95300000000002,21892,1,0.95,18000.0,9840.0,16967.333333333332,21120.828965212935,20876.775
2025-02-01,Bangalore,D1924,Dzire,820000,4,59344,0,107.943,15497,1,0.95,16400.0,21892.0,15743.0,21120.828965212935,15901.875
2022-10-01,Chennai,D4584,Dzire,750000,11,156666,2,100.46300000000001,60433,1,0.95,15000.0,9341.0,29015.666666666668,23055.253506105048,57456.2
2023-12-01,Chennai,D4719,Dzire,900000,6,84084,1,100.452,29318,1,0.95,18000.0,60433.0,33030.666666666664,23055.253506105048,32270.025
2024-04-01,Chennai,D5964,Dzire,820000,5,61910,0,106.61200000000001,14911,1,0.95,16400.0,29318.0,34887.333333333336,23055.253506105048,17060.241666666665
2024-06-01,Chennai,D4775,Dzire,750000,4,53384,0,104.10400000000001,13846,1,0.95,15000.0,14911.0,19358.333333333332,23055.253506105048,14329.783333333333
2024-11-01,Chennai,D7132,Dzire,900000,8,144174,2,107.61300000000001,69585,1,0.95,18000.0,13846.0,32780.666666666664,23055.253506105048,60224.74166666667
2025-03-01,Chennai,D2581,Dzire,900000,7,67014,1,107.855,25340,1,0.95,18000.0,69585.0,36257.0,23055.253506105048,22950.216666666667
2025-09-01,Chennai,D5804,Dzire,900000,5,53711,0,108.68,15958,1,0.95,18000.0,25340.0,36961.0,23055.253506105048,16329.883333333333
2025-10-01,Chennai,D2838,Dzire,750000,8,171658,2,110.12100000000001,76806,1,0.95,15000.0,15958.0,39368.0,23055.253506105048,67341.15833333334
2025-11-01,Chennai,D1009,Dzire,820000,10,137993,2,106.98600000000002,53439,1,0.95,16400.0,76806.0,48734.333333333336,23055.253506105048,52830.85
2025-12-01,Chennai,D3871,Dzire,820000,9,77213,1,108.84500000000001,34261,1,0.95,16400.0,53439.0,54835.333333333336,23055.253506105048,32309.308333333334
2026-01-01,Chennai,D9989,Dzire,750000,5,107784,1,110.143,47155,1,0.95,15000.0,34261.0,44951.666666666664,23055.253506105048,42996.9
2022-07-01,Delhi,D4376,Dzire,900000,6,51675,0,98.27400000000002,14809,1,0.95,18000.0,13996.0,13643.0,4627.916669131864,13619.9
2023-01-01,Delhi,D3703,Dzire,900000,8,73669,1,101.409,24126,1,0.95,18000.0,14809.0,17643.666666666668,4627.916669131864,25239.758333333335
2023-05-01,Delhi,D2353,Dzire,820000,2,67384,0,103.93900000000001,17559,1,0.95,16400.0,24126.0,18831.333333333332,4627.916669131864,19318.4
2023-09-01,Delhi,D1667,Dzire,900000,3,36295,0,102.113,8612,1,0.95,18000.0,17559.0,16765.666666666668,4627.916669131864,9225.833333333334
2024-03-01,Delhi,D1539,Dzire,820000,8,57227,1,105.325,18572,1,0.95,16400.0,8612.0,14914.333333333334,4627.916669131864,17507.775
2025-07-01,Delhi,D8026,Dzire,900000,3,46014,0,107.89900000000002,14931,1,0.95,18000.0,18572.0,14038.333333333334,4627.916669131864,13502.808333333332
2023-06-01,Hyderabad,D6063,Dzire,750000,3,46393,0,103.80700000000002,13048,1,0.95,15000.0,16402.0,17978.0,19026.859814961103,13874.3
2024-01-01,Hyderabad,D3745,Dzire,820000,10,105826,1,106.601,28815,1,0.95,16400.0,13048.0,19421.666666666668,19026.859814961103,29778.041666666668
2024-05-01,Hyderabad,D5835,Dzire,900000,4,66041,0,106.766,18727,1,0.95,18000.0,28815.0,20196.666666666668,19026.859814961103,18474.383333333335
2024-07-01,Hyderabad,D7042,Dzire,820000,5,30145,0,106.084,8861,1,0.95,16400.0,18727.0,18801.0,19026.859814961103,9698.625
2024-08-01,Hyderabad,D8102,Dzire,750000,9,115481,1,103.99400000000001,31985,1,0.95,15000.0,8861.0,19857.666666666668,19026.859814961103,33992.558333333334
2024-10-01,Hyderabad,D6320,Dzire,900000,14,187958,2,106.293,78092,1,0.95,18000.0,31985.0,39646.0,19026.859814961103,68720.65833333334
2024-12-01,Hyderabad,D8891,Dzire,820000,10,76160,1,103.70800000000001,24907,1,0.95,16400.0,78092.0,44994.666666666664,19026.859814961103,29399.716666666667
2025-06-01,Hyderabad,D6713,Dzire,750000,3,32852,0,107.80000000000001,10201,1,0.95,15000.0,24907.0,37733.333333333336,19026.859814961103,10844.025
2025-08-01,Hyderabad,D1255,Dzire,750000,9,83755,1,110.04400000000001,27962,1,0.95,15000.0,10201.0,21023.333333333332,19026.859814961103,29175.408333333333
2023-07-01,Mumbai,D9549,Dzire,900000,2,40617,0,100.914,11462,1,0.95,18000.0,15389.0,18094.333333333332,32776.61211755666,11486.333333333334
2023-10-01,Mumbai,D5468,Dzire,900000,15,199503,2,102.22300000000001,86148,1,0.95,18000.0,11462.0,37666.333333333336,32776.61211755666,70792.10833333334
2023-11-01,Mumbai,D7819,Dzire,750000,9,195760,2,100.683,78280,1,0.95,15000.0,86148.0,58630.0,32776.61211755666,70974.56666666667
2025-04-01,Mumbai,D8714,Dzire,750000,3,44996,0,107.789,14841,1,0.95,15000.0,78280.0,59756.333333333336,32776.61211755666,14053.266666666666
2025-05-01,Mumbai,D4324,Dzire,900000,3,41695,0,110.693,11457,1,0.95,18000.0,14841.0,34859.333333333336,32776.61211755666,11602.833333333334
2023-01-01,Bangalore,D5000,Ertiga,1250000,8,101501,1,100.331,28807,1,0.95,25000.0,23564.0,22937.0,11353.51919793056,29720.291666666668
2023-02-01,Bangalore,D2633,Ertiga,1100000,5,68467,0,101.94800000000002,14722,1,0.95,22000.0,28807.0,22364.333333333332,11353.51919793056,17638.558333333334
2023-06-01,Bangalore,D1404,Ertiga,1250000,4,61007,0,101.233,14742,1,0.95,25000.0,14722.0,19423.666666666668,11353.51919793056,14971.15
2023-09-01,Bangalore,D6989,Ertiga,1250000,4,42323,0,102.58600000000001,9992,1,0.95,25000.0,14742.0,13152.0,11353.51919793056,10067.616666666667
2024-06-01,Bangalore,D6997,Ertiga,1250000,6,32472,0,107.14000000000001,7238,1,0.95,25000.0,9992.0,10657.333333333334,11353.51919793056,7445.391666666666
2024-11-01,Bangalore,D6565,Ertiga,1400000,9,90756,2,106.57900000000001,33329,1,0.95,28000.0,7238.0,16853.0,11353.51919793056,29424.625
2025-07-01,Bangalore,D5363,Ertiga,1100000,6,38533,0,110.858,9215,1,0.95,22000.0,33329.0,16594.0,11353.51919793056,9447.95
2026-01-01,Bangalore,D7544,Ertiga,1250000,7,103363,1,112.39800000000001,41089,1,0.95,25000.0,9215.0,27877.666666666668,11353.51919793056,37292.35
2023-08-01,Chennai,D3000,Ertiga,1100000,10,89532,1,100.96900000000001,20000,1,0.95,22000.0,53728.0,30881.0,21357.69109386853,28144.158333333333
2023-11-01,Chennai,D8190,Ertiga,1400000,12,192356,2,104.379,58372,1,0.95,28000.0,20000.0,44033.333333333336,21357.69109386853,62440.558333333334
2024-03-01,Chennai,D5178,Ertiga,1250000,6,104624,1,104.06,30971,1,0.95,25000.0,58372.0,36447.666666666664,21357.69109386853,33940.21666666667
2024-04-01,Chennai,D8245,Ertiga,1400000,5,40106,0,104.39000000000001,10140,1,0.95,28000.0,30971.0,33161.0,21357.69109386853,10490.166666666666
2025-03-01,Chennai,D8239,Ertiga,1400000,8,64484,1,107.063,18673,1,0.95,28000.0,10140.0,19928.0,21357.69109386853,16838.075
2025-10-01,Chennai,D9580,Ertiga,1400000,9,138576,2,108.735,69906,1,0.95,28000.0,18673.0,32906.333333333336,21357.69109386853,60272.925
2025-12-01,Chennai,D5858,Ertiga,1400000,11,59686,1,109.56,22128,1,0.95,28000.0,69906.0,36902.333333333336,21357.69109386853,20315.733333333334
2022-06-01,Delhi,D9415,Ertiga,1250000,3,62117,0,98.32900000000001,15282,1,0.95,25000.0,10830.0,11096.0,19485.26976258189,12555.558333333332
2022-07-01,Delhi,D8449,Ertiga,1400000,5,53164,0,100.76,11272,1,0.95,28000.0,15282.0,12461.333333333334,19485.26976258189,10799.6
2022-09-01,Delhi,D4925,Ertiga,1400000,4,62496,0,99.726,15472,1,0.95,28000.0,11272.0,14008.666666666666,19485.26976258189,12812.133333333333
2022-12-01,Delhi,D5784,Ertiga,1250000,10,79371,1,100.92500000000001,23471,1,0.95,25000.0,15472.0,16738.333333333332,19485.26976258189,23364.625
2023-03-01,Delhi,D8266,Ertiga,1250000,9,67625,1,101.24400000000001,15588,1,0.95,25000.0,23471.0,18177.0,19485.26976258189,16013.766666666666
2023-05-01,Delhi,D1384,Ertiga,1400000,6,40793,0,104.42300000000002,10464,1,0.95,28000.0,15588.0,16507.666666666668,19485.26976258189,10204.725
2023-10-01,Delhi,D2460,Ertiga,1250000,16,191335,2,102.146,77094,1,0.95,25000.0,10464.0,34382.0,19485.26976258189,67100.88333333333
2023-12-01,Delhi,D8140,Ertiga,1250000,7,64210,1,102.77300000000001,20243,1,0.95,25000.0,77094.0,35933.666666666664,19485.26976258189,19555.183333333334
2024-01-01,Delhi,D4636,Ertiga,1400000,7,66456,1,104.94000000000001,20227,1,0.95,28000.0,20243.0,39188.0,19485.26976258189,18978.133333333335
2024-07-01,Delhi,D3048,Ertiga,1100000,4,36704,0,105.864,9589,1,0.95,22000.0,20227.0,16686.333333333332,19485.26976258189,9419.325
2024-09-01,Delhi,D1716,Ertiga,1100000,2,33713,0,103.906,9002,1,0.95,22000.0,9589.0,12939.333333333334,19485.26976258189,8759.958333333334
2024-10-01,Delhi,D8939,Ertiga,1100000,15,150587,2,107.18400000000001,61775,1,0.95,22000.0,9002.0,26788.666666666668,19485.26976258189,56387.00833333333
2024-12-01,Delhi,D5544,Ertiga,1100000,11,118011,1,103.697,37328,1,0.95,22000.0,61775.0,36035.0,19485.26976258189,43048.88333333333
2025-05-01,Delhi,D9865,Ertiga,1250000,2,38258,0,108.834,10746,1,0.95,25000.0,37328.0,36616.333333333336,19485.26976258189,10568.216666666667
2025-06-01,Delhi,D1770,Ertiga,1250000,6,65196,0,107.426,15410,1,0.95,25000.0,10746.0,21161.333333333332,19485.26976258189,15726.358333333334
2024-08-01,Hyderabad,D5780,Ertiga,1250000,5,114315,1,105.69900000000001,35243,1,0.95,25000.0,14739.0,31506.333333333332,14321.145669952526,43294.875
2025-04-01,Hyderabad,D1249,Ertiga,1250000,2,64503,0,108.71300000000001,17660,1,0.95,25000.0,35243.0,22547.333333333332,14321.145669952526,16433.725
2025-09-01,Hyderabad,D9427,Ertiga,1250000,4,49201,0,109.64800000000001,11778,1,0.95,25000.0,17660.0,21560.333333333332,14321.145669952526,11668.7
2024-02-01,Mumbai,D5809,Ertiga,1100000,2,61367,0,103.906,15826,1,0.95,22000.0,12954.0,13798.333333333334,23650.83877099137,14585.216666666667
2024-05-01,Mumbai,D7600,Ertiga,1100000,3,67957,0,104.50000000000001,15609,1,0.95,22000.0,15826.0,14796.333333333334,23650.83877099137,15805.191666666668
2025-01-01,Mumbai,D5976,Ertiga,1250000,8,86378,1,109.813,26013,1,0.95,25000.0,15609.0,19149.333333333332,23650.83877099137,27832.208333333332
2025-02-01,Mumbai,D4419,Ertiga,1250000,4,34255,0,109.08700000000002,8947,1,0.95,25000.0,26013.0,16856.333333333332,23650.83877099137,9244.325
2025-08-01,Mumbai,D2077,Ertiga,1100000,11,55249,1,110.44000000000001,13463,1,0.95,22000.0,8947.0,16141.0,23650.83877099137,14140.316666666668
2025-11-01,Mumbai,D8901,Ertiga,1100000,11,198562,2,108.51500000000001,80477,1,0.95,22000.0,13463.0,34295.666666666664,23650.83877099137,69680.21666666666
2022-10-01,Bangalore,D7241,Fronx,1000000,14,197181,2,98.252,50159,1,0.95,20000.0,9471.0,23082.0,14964.625238396084,50256.791666666664
2022-12-01,Bangalore,D7941,Fronx,1100000,10,118619,1,99.08800000000001,24810,1,0.95,22000.0,50159.0,28146.666666666668,14964.625238396084,36593.833333333336
2023-03-01,Bangalore,D5261,Fronx,1000000,8,89891,1,103.97200000000001,19939,1,0.95,20000.0,24810.0,31636.0,14964.625238396084,30695.783333333333
2023-05-01,Bangalore,D6115,Fronx,1100000,2,64447,0,101.156,12927,1,0.95,22000.0,19939.0,19225.333333333332,14964.625238396084,14660.466666666667
2023-07-01,Bangalore,D5854,Fronx,1100000,6,63004,0,104.43400000000001,11750,1,0.95,22000.0,12927.0,14872.0,14964.625238396084,13579.133333333333
2023-08-01,Bangalore,D4177,Fronx,1000000,9,105922,1,103.49900000000001,21438,1,0.95,20000.0,11750.0,15371.666666666666,14964.625238396084,22633.716666666667
2024-03-01,Bangalore,D4472,Fronx,1000000,9,63395,1,103.86200000000001,14840,1,0.95,20000.0,21438.0,16009.333333333334,14964.625238396084,15193.35
2024-09-01,Bangalore,D8941,Fronx,1000000,2,39715,0,104.302,7931,1,0.95,20000.0,14840.0,14736.333333333334,14964.625238396084,8596.916666666666
2025-09-01,Bangalore,D7031,Fronx,1100000,2,67174,0,110.18700000000001,18384,1,0.95,22000.0,7931.0,13718.333333333334,14964.625238396084,16946.808333333334
2025-12-01,Bangalore,D2887,Fronx,1100000,6,115450,1,110.68200000000002,55355,1,0.95,22000.0,18384.0,27223.333333333332,14964.625238396084,51428.025
2026-01-01,Bangalore,D4266,Fronx,1100000,8,60382,1,111.221,17508,1,0.95,22000.0,55355.0,30415.666666666668,14964.625238396084,17609.766666666666
2023-01-01,Chennai,D8002,Fronx,900000,8,79328,1,101.002,15190,1,0.95,18000.0,12654.0,11343.666666666666,11539.00997374742,14084.233333333334
2023-02-01,Chennai,D2331,Fronx,1000000,5,50103,0,103.96100000000001,9414,1,0.95,20000.0,15190.0,12419.333333333334,11539.00997374742,10414.808333333332
2023-04-01,Chennai,D8648,Fronx,900000,2,40754,0,103.92800000000001,7971,1,0.95,18000.0,9414.0,10858.333333333334,11539.00997374742,8252.966666666667
2023-09-01,Chennai,D8730,Fronx,1100000,3,59301,0,100.221,12089,1,0.95,22000.0,7971.0,9824.666666666666,11539.00997374742,10380.608333333334
2023-10-01,Chennai,D3180,Fronx,1000000,15,171652,2,100.38600000000001,46233,1,0.95,20000.0,12089.0,22097.666666666668,11539.00997374742,46417.0
