Date,City,Dealer_ID,Car_Model,Price,Discount,Marketing_Spend,Festival,Fuel_Price,Units_Sold,Lead_Time,Service_Level,Holding_Cost_Per_Unit,Previous_Month_Sales,Rolling_3M_Avg,Demand_Std_Dev,Forecasted_Demand,Safety_Stock,Reorder_Point,Inventory_Gap,Holding_Cost_Impact,Risk_Alert,Profit_Per_Unit,Lost_Profit,Blocked_Capital
2022-05-01,Hyderabad,D4440,Baleno,720000,3,47087,0,88.53,14787,1,0.95,14400.0,20202.0,17161.666666666668,25310.553421229037,14093.525,41762.41314502791,55855.93814502791,41068.93814502791,591392709.288402,Excess Inventory Risk,57600.0,0.0,29569635464.420097
2022-10-01,Hyderabad,D6917,Baleno,720000,16,146024,2,91.36,53481,1,0.95,14400.0,14787.0,29490.0,25310.553421229037,53817.75,41762.41314502791,95580.16314502791,42099.16314502791,606227949.2884018,Excess Inventory Risk,57600.0,0.0,30311397464.420094
2023-01-01,Hyderabad,D2365,Baleno,880000,6,79165,1,93.36,24327,1,0.95,17600.0,53481.0,30865.0,25310.553421229037,29228.783333333333,41762.41314502791,70991.19647836123,46664.196478361235,821289858.0191578,Excess Inventory Risk,70400.0,0.0,41064492900.957886
2023-06-01,Hyderabad,D8400,Baleno,880000,6,61116,0,94.49,17870,1,0.95,17600.0,24327.0,31892.666666666668,25310.553421229037,17729.908333333333,41762.41314502791,59492.32147836124,41622.32147836124,732552858.0191579,Excess Inventory Risk,70400.0,0.0,36627642900.95789
2023-10-01,Hyderabad,D3502,Baleno,800000,15,183754,2,92.85,93862,1,0.95,16000.0,17870.0,45353.0,25310.553421229037,90549.29166666669,41762.41314502791,132311.7048116946,38449.704811694595,615195276.9871135,Excess Inventory Risk,64000.0,0.0,30759763849.355675
2024-12-01,Hyderabad,D2062,Baleno,880000,9,58927,1,97.14,21815,1,0.95,17600.0,93862.0,44515.666666666664,25310.553421229037,21188.775,41762.41314502791,62951.18814502791,41136.18814502791,723996911.3524913,Excess Inventory Risk,70400.0,0.0,36199845567.624565
2025-02-01,Hyderabad,D8860,Baleno,800000,6,44437,0,97.02,13313,1,0.95,16000.0,21815.0,42996.666666666664,25310.553421229037,13273.65,41762.41314502791,55036.06314502791,41723.06314502791,667569010.3204466,Excess Inventory Risk,64000.0,0.0,33378450516.022327
2025-12-01,Hyderabad,D7801,Baleno,950000,7,81348,1,100.51,41513,1,0.95,19000.0,13313.0,25547.0,25310.553421229037,27678.966666666667,41762.41314502791,69441.37981169458,27928.379811694584,530639216.4221971,Excess Inventory Risk,76000.0,0.0,26531960821.109856
2023-04-01,Mumbai,D8186,Baleno,720000,2,66321,0,93.26,18548,1,0.95,14400.0,8540.0,12711.333333333334,15925.152711983645,14826.908333333333,26276.50197477301,41103.410308106344,22555.410308106344,324797908.43673134,Excess Inventory Risk,57600.0,0.0,16239895421.836567
2023-09-01,Mumbai,D5360,Baleno,880000,3,47772,0,91.64,12141,1,0.95,17600.0,18548.0,13076.333333333334,15925.152711983645,11955.066666666668,26276.50197477301,38231.56864143968,26090.568641439677,459194008.0893383,Excess Inventory Risk,70400.0,0.0,22959700404.466915
2024-04-01,Mumbai,D5980,Baleno,880000,6,67574,0,95.61,21842,1,0.95,17600.0,12141.0,17510.333333333332,15925.152711983645,19548.466666666667,26276.50197477301,45824.96864143968,23982.96864143968,422100248.08933836,Excess Inventory Risk,70400.0,0.0,21105012404.466915
2025-04-01,Mumbai,D6305,Baleno,950000,3,69778,0,97.14,23184,1,0.95,19000.0,21842.0,19055.666666666668,15925.152711983645,23313.633333333335,26276.50197477301,49590.13530810634,26406.135308106343,501716570.85402054,Excess Inventory Risk,76000.0,0.0,25085828542.701027
2025-08-01,Mumbai,D6334,Baleno,880000,9,72612,1,98.47,28252,1,0.95,17600.0,23184.0,24426.0,15925.152711983645,28399.6,26276.50197477301,54676.10197477301,26424.10197477301,465064194.756005,Excess Inventory Risk,70400.0,0.0,23253209737.800247
2025-09-01,Mumbai,D9924,Baleno,880000,6,58441,0,98.31,19924,1,0.95,17600.0,28252.0,23786.666666666668,15925.152711983645,19371.508333333335,26276.50197477301,45648.01030810634,25724.010308106343,452742581.4226716,Excess Inventory Risk,70400.0,0.0,22637129071.133583
2025-11-01,Mumbai,D9010,Baleno,800000,13,115631,2,98.22,60166,1,0.95,16000.0,19924.0,36114.0,15925.152711983645,55578.575,26276.50197477301,81855.07697477301,21689.07697477301,347025231.59636813,Excess Inventory Risk,64000.0,0.0,17351261579.818405
2026-01-01,Mumbai,D5846,Baleno,800000,8,114732,1,103.99,43020,1,0.95,16000.0,60166.0,41036.666666666664,15925.152711983645,43249.60833333333,26276.50197477301,69526.11030810635,26506.11030810635,424097764.92970157,Excess Inventory Risk,64000.0,0.0,21204888246.485077
2025-06-01,Bangalore,D8576,Brezza,950000,3,50829,0,100.99,13871,1,0.95,19000.0,18216.0,14371.333333333334,14535.204363888386,12483.958333333334,23983.087200415837,36467.04553374917,22596.045533749173,429324865.1412343,Excess Inventory Risk,76000.0,0.0,21466243257.061714
2025-08-01,Bangalore,D1928,Brezza,1150000,9,94139,1,99.57,31380,1,0.95,23000.0,13871.0,21155.666666666668,14535.204363888386,30088.225,23983.087200415837,54071.312200415836,22691.312200415836,521900180.60956424,Excess Inventory Risk,92000.0,0.0,26095009030.47821
2025-09-01,Bangalore,D6029,Brezza,1150000,4,59734,0,98.68,15216,1,0.95,23000.0,31380.0,20155.666666666668,14535.204363888386,14925.558333333332,23983.087200415837,38908.64553374917,23692.64553374917,544930847.2762309,Excess Inventory Risk,92000.0,0.0,27246542363.811546
2025-11-01,Bangalore,D3105,Brezza,1050000,10,143646,2,100.14,49001,1,0.95,21000.0,15216.0,31865.666666666668,14535.204363888386,50210.13333333333,23983.087200415837,74193.22053374918,25192.220533749176,529036631.2087327,Excess Inventory Risk,84000.0,0.0,26451831560.436634
2022-03-01,Chennai,D1953,Brezza,1150000,7,82779,1,90.89,21882,1,0.95,23000.0,8571.0,15480.333333333334,11944.344250143417,22386.508333333335,19708.168012736634,42094.67634606997,20212.676346069973,464891555.9596094,Excess Inventory Risk,92000.0,0.0,23244577797.98047
2022-04-01,Chennai,D3539,Brezza,950000,2,51636,0,91.54,11760,1,0.95,19000.0,21882.0,14071.0,11944.344250143417,12219.5,19708.168012736634,31927.668012736634,20167.668012736634,383185692.24199605,Excess Inventory Risk,76000.0,0.0,19159284612.099804
2022-08-01,Chennai,D2191,Brezza,1050000,5,61563,1,90.78,18705,1,0.95,21000.0,11760.0,17449.0,11944.344250143417,14570.708333333334,19708.168012736634,34278.87634606997,15573.87634606997,327051403.26746935,Excess Inventory Risk,84000.0,0.0,16352570163.373468
2022-10-01,Chennai,D7938,Brezza,950000,17,171055,2,90.48,56772,1,0.95,19000.0,18705.0,29079.0,11944.344250143417,57669.083333333336,19708.168012736634,77377.25134606997,20605.25134606997,391499775.5753294,Excess Inventory Risk,76000.0,0.0,19574988778.76647
2023-01-01,Chennai,D7172,Brezza,950000,7,76987,1,91.37,22700,1,0.95,19000.0,56772.0,32725.666666666668,11944.344250143417,24562.141666666663,19708.168012736634,44270.3096794033,21570.309679403297,409835883.9086626,Excess Inventory Risk,76000.0,0.0,20491794195.433132
2023-05-01,Chennai,D9702,Brezza,1150000,4,63174,0,91.26,13393,1,0.95,23000.0,22700.0,30955.0,11944.344250143417,14681.758333333331,19708.168012736634,34389.926346069966,20996.926346069966,482929305.9596092,Excess Inventory Risk,92000.0,0.0,24146465297.98046
2023-08-01,Chennai,D2324,Brezza,1050000,5,89310,1,93.24,27197,1,0.95,21000.0,13393.0,21096.666666666668,11944.344250143417,27231.425,19708.168012736634,46939.59301273663,19742.59301273663,414594453.2674692,Excess Inventory Risk,84000.0,0.0,20729722663.373463
2023-09-01,Chennai,D4141,Brezza,1050000,4,38906,0,93.41,10127,1,0.95,21000.0,27197.0,16905.666666666668,11944.344250143417,10015.383333333331,19708.168012736634,29723.551346069966,19596.551346069966,411527578.2674693,Excess Inventory Risk,84000.0,0.0,20576378913.373463
2024-05-01,Chennai,D9905,Brezza,950000,5,58211,0,95.34,15852,1,0.95,19000.0,10127.0,17725.333333333332,11944.344250143417,16102.5,19708.168012736634,35810.668012736634,19958.668012736634,379214692.24199605,Excess Inventory Risk,76000.0,0.0,18960734612.099804
2024-06-01,Chennai,D6977,Brezza,1050000,3,57117,0,97.14,15248,1,0.95,21000.0,15852.0,13742.333333333334,11944.344250143417,15223.541666666666,19708.168012736634,34931.7096794033,19683.7096794033,413357903.2674693,Excess Inventory Risk,84000.0,0.0,20667895163.373463
2024-07-01,Chennai,D5268,Brezza,1150000,6,66378,0,96.83,15109,1,0.95,23000.0,15248.0,15403.0,11944.344250143417,15305.233333333334,19708.168012736634,35013.401346069964,19904.401346069964,457801230.95960915,Excess Inventory Risk,92000.0,0.0,22890061547.980457
2025-04-01,Chennai,D2214,Brezza,1150000,2,53171,0,99.39,14597,1,0.95,23000.0,15109.0,14984.666666666666,11944.344250143417,13433.266666666666,19708.168012736634,33141.434679403304,18544.434679403304,426521997.626276,Excess Inventory Risk,92000.0,0.0,21326099881.3138
2024-04-01,Delhi,D5186,Brezza,1050000,3,37151,0,94.23,10737,1,0.95,21000.0,42122.0,22669.666666666668,14386.694491786498,10669.75,23738.04591144772,34407.79591144772,23670.79591144772,497086714.14040214,Excess Inventory Risk,84000.0,0.0,24854335707.020107
2024-09-01,Delhi,D5849,Brezza,1050000,5,36894,0,96.07,8917,1,0.95,21000.0,10737.0,20592.0,14386.694491786498,9790.375,23738.04591144772,33528.42091144772,24611.42091144772,516839839.14040214,Excess Inventory Risk,84000.0,0.0,25841991957.020107
2024-12-01,Delhi,D9647,Brezza,950000,9,104691,1,95.31,34841,1,0.95,19000.0,8917.0,18165.0,14386.694491786498,27887.641666666663,23738.04591144772,51625.68757811438,16784.687578114383,318909063.9841733,Excess Inventory Risk,76000.0,0.0,15945453199.208664
2025-01-01,Delhi,D4072,Brezza,1050000,10,114157,1,98.74,37659,1,0.95,21000.0,34841.0,27139.0,14386.694491786498,37818.35,23738.04591144772,61556.39591144772,23897.39591144772,501845314.1404021,Excess Inventory Risk,84000.0,0.0,25092265707.020103
2025-02-01,Delhi,D7530,Brezza,1050000,4,42289,0,97.35,11984,1,0.95,21000.0,37659.0,28161.333333333332,14386.694491786498,11661.458333333334,23738.04591144772,35399.504244781056,23415.504244781056,491725589.14040214,Excess Inventory Risk,84000.0,0.0,24586279457.020107
2025-03-01,Delhi,D1504,Brezza,1050000,5,94976,1,97.88,32728,1,0.95,21000.0,11984.0,27457.0,14386.694491786498,31382.233333333337,23738.04591144772,55120.27924478106,22392.279244781057,470237864.1404022,Excess Inventory Risk,84000.0,0.0,23511893207.02011
2025-07-01,Delhi,D1823,Brezza,950000,5,64054,0,100.73,15821,1,0.95,19000.0,32728.0,20177.666666666668,14386.694491786498,16691.041666666668,23738.04591144772,40429.087578114384,24608.087578114384,467553663.9841733,Excess Inventory Risk,76000.0,0.0,23377683199.208664
2025-10-01,Delhi,D1133,Brezza,1150000,13,152588,2,99.54,46063,1,0.95,23000.0,15821.0,31537.333333333332,14386.694491786498,51431.925,23738.04591144772,75169.97091144772,29106.970911447715,669460330.9632975,Excess Inventory Risk,92000.0,0.0,33473016548.16487
2023-11-01,Hyderabad,D4486,Brezza,950000,17,190350,2,94.22,78626,1,0.95,19000.0,9138.0,33142.666666666664,22664.722042195885,76561.21666666666,37396.791369623206,113958.00803628986,35332.00803628986,671308152.6895074,Excess Inventory Risk,76000.0,0.0,33565407634.475365
2023-12-01,Hyderabad,D2810,Brezza,950000,6,95379,1,92.08,29676,1,0.95,19000.0,78626.0,39146.666666666664,22664.722042195885,31449.116666666665,37396.791369623206,68845.90803628987,39169.90803628987,744228252.6895075,Excess Inventory Risk,76000.0,0.0,37211412634.47537
2024-02-01,Hyderabad,D3923,Brezza,1050000,6,36012,0,95.99,10026,1,0.95,21000.0,29676.0,39442.666666666664,22664.722042195885,10222.15,37396.791369623206,47618.94136962321,37592.94136962321,789451768.7620873,Excess Inventory Risk,84000.0,0.0,39472588438.10437
2024-08-01,Hyderabad,D5748,Brezza,1150000,9,92652,1,97.15,25466,1,0.95,23000.0,10026.0,21722.666666666668,22664.722042195885,26799.7,37396.791369623206,64196.49136962321,38730.49136962321,890801301.5013338,Excess Inventory Risk,92000.0,0.0,44540065075.06669
2024-10-01,Hyderabad,D4709,Brezza,1050000,14,93467,2,95.76,36230,1,0.95,21000.0,25466.0,23907.333333333332,22664.722042195885,34041.75833333333,37396.791369623206,71438.54970295654,35208.549702956545,739379543.7620875,Excess Inventory Risk,84000.0,0.0,36968977188.10437
2024-11-01,Hyderabad,D7619,Brezza,1050000,9,111010,2,94.59,50867,1,0.95,21000.0,36230.0,37521.0,22664.722042195885,46445.61666666667,37396.791369623206,83842.40803628988,32975.40803628988,692483568.7620876,Excess Inventory Risk,84000.0,0.0,34624178438.10438
2025-12-01,Hyderabad,D4627,Brezza,1050000,10,53654,1,97.47,21025,1,0.95,21000.0,50867.0,36040.666666666664,22664.722042195885,18751.616666666665,37396.791369623206,56148.40803628987,35123.40803628987,737591568.7620872,Excess Inventory Risk,84000.0,0.0,36879578438.10436
2022-12-01,Mumbai,D2540,Brezza,1150000,11,109889,1,91.18,38779,1,0.95,23000.0,35186.0,27786.333333333332,10784.956922594649,35398.45,17795.17892228117,53193.62892228117,14414.628922281168,331536465.2124669,Excess Inventory Risk,92000.0,0.0,16576823260.623344
2023-03-01,Mumbai,D2365,Brezza,1050000,11,108348,1,92.92,26432,1,0.95,21000.0,38779.0,33465.666666666664,10784.956922594649,30069.35,17795.17892228117,47864.52892228117,21432.52892228117,450083107.36790454,Excess Inventory Risk,84000.0,0.0,22504155368.39523
2023-04-01,Mumbai,D9691,Brezza,1150000,6,54596,0,93.57,14173,1,0.95,23000.0,26432.0,26461.333333333332,10784.956922594649,15252.3,17795.17892228117,33047.47892228117,18874.478922281167,434113015.21246684,Excess Inventory Risk,92000.0,0.0,21705650760.62334
2023-06-01,Mumbai,D8494,Brezza,1150000,6,34431,0,93.32,7652,1,0.95,23000.0,14173.0,16085.666666666666,10784.956922594649,9108.141666666666,17795.17892228117,26903.320588947838,19251.320588947838,442780373.54580027,Excess Inventory Risk,92000.0,0.0,22139018677.290012
2023-07-01,Mumbai,D5312,Brezza,1150000,3,57764,0,93.25,14636,1,0.95,23000.0,7652.0,12153.666666666666,10784.956922594649,13839.45,17795.17892228117,31634.628922281172,16998.628922281172,390968465.21246696,Excess Inventory Risk,92000.0,0.0,19548423260.62335
2024-01-01,Mumbai,D7588,Brezza,950000,7,87650,1,97.3,23970,1,0.95,19000.0,14636.0,15419.333333333334,10784.956922594649,23098.816666666666,17795.17892228117,40893.99558894784,16923.995588947837,321555916.1900089,Excess Inventory Risk,76000.0,0.0,16077795809.500444
2024-03-01,Mumbai,D6301,Brezza,1150000,10,100115,1,94.31,30619,1,0.95,23000.0,23970.0,23075.0,10784.956922594649,28175.225,17795.17892228117,45970.40392228117,15351.40392228117,353082290.2124669,Excess Inventory Risk,92000.0,0.0,17654114510.623344
2026-01-01,Mumbai,D7316,Brezza,1150000,11,68743,1,101.64,26295,1,0.95,23000.0,30619.0,26961.333333333332,10784.956922594649,22217.825,17795.17892228117,40013.003922281176,13718.003922281176,315514090.212467,Excess Inventory Risk,92000.0,0.0,15775704510.623352
2022-12-01,Bangalore,D4330,Dzire,900000,6,115429,1,90.07,37371,1,0.95,18000.0,81289.0,42884.333333333336,21120.828965212935,42694.683333333334,34849.36779260134,77544.05112593467,40173.05112593467,723114920.266824,Excess Inventory Risk,72000.0,0.0,36155746013.3412
2023-02-01,Bangalore,D9662,Dzire,900000,4,64068,0,94.76,18636,1,0.95,18000.0,37371.0,45765.333333333336,21120.828965212935,18855.375,34849.36779260134,53704.74279260134,35068.74279260134,631237370.2668241,Excess Inventory Risk,72000.0,0.0,31561868513.341206
2023-04-01,Bangalore,D8114,Dzire,750000,5,58552,0,92.72,16822,1,0.95,15000.0,18636.0,24276.333333333332,21120.828965212935,17937.058333333334,34849.36779260134,52786.426125934675,35964.426125934675,539466391.8890201,Excess Inventory Risk,60000.0,0.0,26973319594.451008
2023-08-01,Bangalore,D8575,Dzire,750000,10,81401,1,94.21,25022,1,0.95,15000.0,16822.0,20160.0,21120.828965212935,26804.925,34849.36779260134,61654.292792601336,36632.292792601336,549484391.8890201,Excess Inventory Risk,60000.0,0.0,27474219594.451004
2024-02-01,Bangalore,D8483,Dzire,900000,6,66451,0,95.99,19170,1,0.95,18000.0,25022.0,20338.0,21120.828965212935,19010.958333333332,34849.36779260134,53860.32612593468,34690.32612593468,624425870.2668241,Excess Inventory Risk,72000.0,0.0,31221293513.34121
2024-09-01,Bangalore,D8312,Dzire,820000,5,33040,0,97.01,9840,1,0.95,16400.0,19170.0,18010.666666666668,21120.828965212935,9756.6,34849.36779260134,44605.96779260134,34765.96779260134,570161871.798662,Excess Inventory Risk,65600.0,0.0,28508093589.933098
2025-01-01,Bangalore,D3779,Dzire,900000,11,67633,1,97.23,21892,1,0.95,18000.0,9840.0,16967.333333333332,21120.828965212935,20981.333333333332,34849.36779260134,55830.70112593468,33938.70112593468,610896620.2668241,Excess Inventory Risk,72000.0,0.0,30544831013.34121
2025-02-01,Bangalore,D1924,Dzire,820000,4,59344,0,98.13,15497,1,0.95,16400.0,21892.0,15743.0,21120.828965212935,16377.266666666666,34849.36779260134,51226.63445926801,35729.63445926801,585966005.1319953,Excess Inventory Risk,65600.0,0.0,29298300256.59977
2022-10-01,Chennai,D4584,Dzire,750000,11,156666,2,91.33,60433,1,0.95,15000.0,9341.0,29015.666666666668,23055.253506105048,58698.09166666667,38041.16828507333,96739.25995174,36306.259951739994,544593899.2760999,Excess Inventory Risk,60000.0,0.0,27229694963.804996
2023-12-01,Chennai,D4719,Dzire,900000,6,84084,1,91.32,29318,1,0.95,18000.0,60433.0,33030.666666666664,23055.253506105048,28528.008333333335,38041.16828507333,66569.17661840667,37251.176618406666,670521179.13132,Excess Inventory Risk,72000.0,0.0,33526058956.565998
2024-04-01,Chennai,D5964,Dzire,820000,5,61910,0,96.92,14911,1,0.95,16400.0,29318.0,34887.333333333336,23055.253506105048,16869.266666666666,38041.16828507333,54910.43495174,39999.43495174,655990733.2085359,Excess Inventory Risk,65600.0,0.0,32799536660.426796
2024-06-01,Chennai,D4775,Dzire,750000,4,53384,0,94.64,13846,1,0.95,15000.0,14911.0,19358.333333333332,23055.253506105048,14325.741666666669,38041.16828507333,52366.909951739995,38520.909951739995,577813649.2760999,Excess Inventory Risk,60000.0,0.0,28890682463.804996
2024-11-01,Chennai,D7132,Dzire,900000,8,144174,2,97.83,69585,1,0.95,18000.0,13846.0,32780.666666666664,23055.253506105048,58835.1,38041.16828507333,96876.26828507333,27291.268285073325,491242829.1313199,Excess Inventory Risk,72000.0,0.0,24562141456.565994
2025-03-01,Chennai,D2581,Dzire,900000,7,67014,1,98.05,25340,1,0.95,18000.0,69585.0,36257.0,23055.253506105048,22877.933333333334,38041.16828507333,60919.10161840666,35579.10161840666,640423829.1313199,Excess Inventory Risk,72000.0,0.0,32021191456.565994
2025-09-01,Chennai,D5804,Dzire,900000,5,53711,0,98.8,15958,1,0.95,18000.0,25340.0,36961.0,23055.253506105048,17027.175,38041.16828507333,55068.34328507332,39110.34328507332,703986179.1313198,Excess Inventory Risk,72000.0,0.0,35199308956.56599
2025-10-01,Chennai,D2838,Dzire,750000,8,171658,2,100.11,76806,1,0.95,15000.0,15958.0,39368.0,23055.253506105048,64805.916666666664,38041.16828507333,102847.08495173999,26041.08495173999,390616274.27609986,Excess Inventory Risk,60000.0,0.0,19530813713.804993
2025-11-01,Chennai,D1009,Dzire,820000,10,137993,2,97.26,53439,1,0.95,16400.0,76806.0,48734.333333333336,23055.253506105048,58931.60833333333,38041.16828507333,96972.77661840666,43533.77661840666,713953936.5418692,Excess Inventory Risk,65600.0,0.0,35697696827.09346
2025-12-01,Chennai,D3871,Dzire,820000,9,77213,1,98.95,34261,1,0.95,16400.0,53439.0,54835.333333333336,23055.253506105048,32741.191666666666,38041.16828507333,70782.35995173999,36521.359951739985,598950303.2085358,Excess Inventory Risk,65600.0,0.0,29947515160.42679
2026-01-01,Chennai,D9989,Dzire,750000,5,107784,1,100.13,47155,1,0.95,15000.0,34261.0,44951.666666666664,23055.253506105048,44145.833333333336,38041.16828507333,82187.00161840666,35032.00161840666,525480024.2760999,Excess Inventory Risk,60000.0,0.0,26274001213.804996
2022-07-01,Delhi,D4376,Dzire,900000,6,51675,0,89.34,14809,1,0.95,18000.0,13996.0,13643.0,4627.916669131864,13416.741666666669,7636.062504067576,21052.804170734245,6243.804170734245,112388475.07321642,Excess Inventory Risk,72000.0,0.0,5619423753.660821
2023-01-01,Delhi,D3703,Dzire,900000,8,73669,1,92.19,24126,1,0.95,18000.0,14809.0,17643.666666666668,4627.916669131864,24612.108333333337,7636.062504067576,32248.170837400914,8122.170837400914,146199075.07321644,Excess Inventory Risk,72000.0,0.0,7309953753.660823
